agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a1;a2;c;cd;d;e;g;ib_ptca_adultes;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;total_lits;capacite-fusion;remarques;officine_hospitaliere;imagerie_medicale_avec_scanner;tomographe_a_resonance_magnetique_rmn;scanner-pet;radiotherapie;centre_de_dialyse;programme_de_soins_pathologie_cardiaque_a;programme_de_soins_pathologie_cardiaque_b3;programme_de_soins_pathologie_cardiaque_b1-b2;programme_de_soins_pathologie_cardiaque_c;programme_de_soins_pathologie_cardiaque_e;programme_de_soins_pathologie_cardiaque_p;programme_de_soins_pathologie_cardiaque_t;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programme_de_soins_de_base_soins_de_l_avc;programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction_type_a;programme_de_soins_medecine_de_la_reproduction_type_b;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_d_oncologie;programme_de_soins_de_base_en_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;soins_intensifs;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;urgences;smur;banque_de_sang_hospitaliere;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;coordination_locale_des_donateurs;fonction_de_mediateur;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;centre_d_expertise_pour_les_patients_comateux;centre_de_la_mucoviscidose;service_anatomopathologie
104;SP;2060;SINT-JOZEFKLINIEK;BORNEM;KASTEELSTRAAT 23;2880;BORNEM;03/890.16.11;www.sjk.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;;;;42;;60;;;;;;;;15;;;20;;;;;;;;;;;137;239;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
104;SS;2110;SINT-JOZEFKLINIEK;WILLEBROEK;STEENWEG OP TISSELT 27;2830;WILLEBROEK;03/860.32.22;;N;V;Antwerpen;Mechelen;;;;;;30;;;;72;;;;;;;;;;;;;;;;;;;;102;;;;Medische Beeldvorming met scanner;;;;;;;;;;;;;;;;;;;;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
106;SP;1340;A.Z. SINT-MARIA;;ZIEKENHUISLAAN 100;1500;HALLE;02/363.12.11;www.sintmaria.be;N;V;Vlaams-Brabant;Halle;Algemeen ziekenhuis;Privaat;30;;;70;;74;15;50;;;;;;20;;30;29;;6;;20;;;;;;;344;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
108;SP;1360;REGIONAAL ZIEKENHUIS HEILIG HART;;NAAMSESTRAAT 105;3000;LEUVEN;016/20.92.11;www.hhleuven.be;N;V;Vlaams-Brabant;Leuven;Algemeen ziekenhuis;Privaat;;;;77;;74;15;57;;;;;;38;;;;20;6;;;;;;;;;287;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie met AZ Diest (712);;;;X;;;;;X;;;;;;X;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SP;1370;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;MARIENDAL;KLINIEKSTRAAT 45;3300;TIENEN;016/80.90.11;www.rztienen.be;N;V;Vlaams-Brabant;Diest - Tienen;Algemeen ziekenhuis;Privaat;;;;83;;84;15;22;;;;;;17;;;;;;;;;;;;;;221;331;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);X (1);;;;;;;;;;;;;;;;;Zorgprogramma oncologie;;;;;Zorgprogramma voor kinderen;;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SS;1390;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;ST. JAN;HOUTEMSTRAAT 115;3300;TIENEN;016/80.90.11;;N;V;Vlaams-Brabant;Diest - Tienen;;;30;;;;;;;53;;;;;;;;;27;;;;;;;;;;;110;;;;Medische Beeldvorming met scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SS;1380;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;MEDISCH CENTRUM;LANGDORPSESTEENWEG 129;3200;AARSCHOT;016/55.17.11;;N;V;Vlaams-Brabant;Diest - Tienen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische Beeldvorming met scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;geriatrisch consult;;;;;;;;;;;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
110;SP;1310;KLINIEK ST.-JAN - CLINIQUE ST. JEAN;KRUIDTUIN / BOTANIQUE;KRUIDTUINLAAN 32;1000;BRUSSEL--1;02/221.91.11;www.klstjan.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;30;;;102;;112;15;76;;10;;;;47;;;;;12;;;;;;;;;404;558;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;X;X;;;X;;;;;;;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker - Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met Hôpitaux Iris-Sud (site Etterbeek-Ixelles/Elsene);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;Lokale donorcoördinatie;Ombudsfunctie - Fonction de médiateur;;;;;;
110;SS;1480;KLINIEK ST.-JAN - CLINIQUE ST. JEAN;MERIDIEN;RUE DU MERIDIEN 100;1210;BRUXELLES;02/225.91.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;23;;;;;;;;;;;;;;;;;;29;24;;;;;;;76;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;dienst voor geriatrie - service de gériatrique;;;;;;;;;;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
110;SS;2460;KLINIEK ST.-JAN - CLINIQUE ST. JEAN;LEOPOLD Ier;LEOPOLD I STRAAT 314;1090;BRUXELLES--9;02/421.00.20;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;30;;;;;;;;;;;;48;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
111;SP;1400;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST. ELISABETH;DE FRELAAN 206;1180;BRUSSEL-18;02/614.20.00;"www.cliniquesdeleurope.be; www.europaziekenhuizen.be";B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;30;;;;292;;15;60;;;;;;15;;;;;12;;;;;;;;;424;715;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner ;X (1);;Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;X;X;;;X;X;;B = associatie met Cliniques Universitaires St. Luc - Bruxelles;;;X;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker - Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;Lokale donorcoördinatie;Ombudsfunctie - Fonction de médiateur;;;;;;
111;SS;1420;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST.-MICHEL;RUE DE LINTHOUT 150;1040;BRUXELLES--4;02/614.30.00;;F;B;Brussel-Bruxelles;Bruxelles - Brussel;;;30;15;;;134;;;60;;;;;;24;;;20;;8;;;;;;;;;291;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
116;SP;2360;REVALIDATIE & MS CENTRUM;;BOEMERANGSTRAAT 2;3900;OVERPELT;011/80.91.00;www.msreva.be;N;V;Limburg;Lommel - Maaseik;Gespecialiseerd ziekenhuis;Privaat;;;;;;;;;;;;;;;;;;120;;;;;;;;;;120;;;Associatie m.b.t. de gezamelijke exploitatie van de functie ziekenhuisapotheek met Maria Ziekenhuis Noord-Limburg te Overpelt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;Niet- chirurgische daghospitalisatie;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
117;SP;1950;ALGEMEEN ZIEKENHUIS DELTA;WILGENSTRAAT;RODE KRUISSTRAAT 20;8800;ROESELARE;051/23.71.11;www.azdelta.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;;;;226;;228;32;24;;;;;;23;;;;;;;;;;;;;;533;1213;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (2);Associatie m.b.t. de gezamelijke exploitatie van een Pet-scanner, het toestel staat opgesteld in het A.Z. Groeninge (campus Onze Lieve Vrouw) Reepkaai 4 te 8500 Kortrijk;Radiotherapie;Dialysecentrum;X;X;;;X;X;;;;;X;;;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker ;Zorgprogramma voor kinderen;;;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
117;SS;1100;ALGEMEEN ZIEKENHUIS DELTA;BRUGSESTEENWEG;BRUGSESTEENWEG 90;8800;ROESELARE;051/23.61.11;;N;V;West-Vlaanderen;Roeselare;;;30;;;95;;77;21;24;;;;;;23;;;;;;60;;;;;;;;330;;;;Medische Beeldvorming met scanner;X (1);;;;X;;;;;X;;;;;;;;Zorgprogramma oncologie;;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
117;SS;1960;ALGEMEEN ZIEKENHUIS DELTA;RIJSELSTRAAT;OUDE LEIELAAN 6;8930;MENEN;056/52.21.11;;N;V;West-Vlaanderen;Kortrijk;;;;;;53;;63;16;24;;;;;;13;;;;;;;;;;;;;;169;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank; ;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
117;SS;1150;ALGEMEEN ZIEKENHUIS DELTA;WESTLAAN;WESTLAAN 123;8800;ROESELARE;051/23.81.11;;N;V;West-Vlaanderen;Roeselare;;;30;;;;;;;96;;;;;;;;;26;20;9;;;;;;;;;181;;;;;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;;;;;;;;;;;;;;;;Expertisecentrum voor comapatiënten (4 bedden);;
124;SP;1920;ST.-JOZEFSKLINIEK V.Z.W.;ST. JOZEFKLINIEK;ROESELAARSESTRAAT 47;8870;IZEGEM;051/33.41.11;www.sint-jozefkliniek-izegem.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;;;;63;;93;20;24;;;;;;17;;;;;;;;;;;;;;217;271;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie met Algemeen Ziekenhuis Delta, Roeselare (117);;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;Associatie met Az Delta,  Roeselare;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
124;SS;3500;ST.-JOZEFSKLINIEK V.Z.W.;TEN BOS;MEENSESTEENWEG 70;8870;IZEGEM;051/33.66.11;;N;V;West-Vlaanderen;Roeselare;;;;;;;;;;30;;;;;;;;24;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;SP;1780;ONZE LIEVE VROUWZIEKENHUIS;AALST;MOORSELBAAN 164;9300;AALST;053/72.41.11;www.olvz.be;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;Privaat;30;;;238;;245;27;61;;;;;;21;;;;;;;;;;;;;;622;844;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (2);;Radiotherapie;Dialysecentrum;X;X;;;X;X;X;;;;;;Associatie zorgprogramma reproductieve geneeskunde type B met het A.Z. Jan Palfijn te Gent  - het zorgprogramma is gelokaliseerd in het A.Z. Jan Palfijn, Gent;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het Aalsters Stedelijk Ziekenhuis - Aalst;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
126;SS;1300;ONZE LIEVE VROUWZIEKENHUIS;ASSE;BLOKLAAN 5;1730;ASSE;02/300.61.11;;N;V;Vlaams-Brabant;Vilvoorde - Dilbeek;;;30;;;50;;52;15;24;;;;;;15;;;;;6;;;;;;;;;192;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
126;SS;1790;ONZE LIEVE VROUWZIEKENHUIS;MEDISCH CENTRUM;BIEZENSTRAAT 2;9400;NINOVE;054/31.21.11;;N;V;Oost-Vlaanderen;Aalst;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;30;;;;Medische Beeldvorming met scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
134;SP;1830;ST.-VINCENTIUSZIEKENHUIS;;SCHUTTERIJSTRAAT 34;9800;DEINZE;09/387.71.11;www.azstvdeinze.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;;;;49;;51;20;34;;;;;;16;;;;;;;;;;;;;;170;;Het zorgprogramma voor de geriatrische patiënt wordt uitgebaat in associatie met het Universitair Ziekenhuis Gent;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie (zie opmerkingen);geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
140;SP;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;;ST.-LUCASLAAN 29;8310;BRUGGE;050/36.91.11;www.stlucas.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;Privaat;30;8;;114;;93;24;56;;25;;;;22;;;20;20;;;;;;;;;;412;;"Associatie mbt. de gezamelijke exploitatie van 9 bedden Sp- palliatieve zorgen met A.Z. St. Jan Brugge-Oostende, de bedden zijn gelokaliseerd in ""campus Franciscus-Xaverius"" Spaanse Loskaai 1 te 8000 Brugge";Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;Dialysecentrum;X;;;;;X;;;;;;;Associatie zorgprogramma reproductieve geneeskunde type B met het A.Z. St. Jan Brugge-Oostende, het zorgprogramma is gelokaliseerd op campus St. Jan, Ruddershove 10 te 8000 Brugge ;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;"Associatie m.b.t. de gezamelijke exploitatie van de functie regionale perinatale zorg (P*) met het A.Z. St. Jan Brugge-Oostende, de functie is gelokaliseerd op ""campus St. Jan"" Ruddershove 10 te 8000 BRUGGE";;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
143;SP;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;;LAARBEEKLAAN 101;1090;BRUSSEL--9;02/477.41.11;www.uzbrussel.be;N;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;30;;;268;36;203;57;29;;15;5;;;40;16;;22;;;;;;;;;;;721;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische beeldvorming met scanner - Imagerie médicale avec scanner;X (3);Pet- scanner - Scanner pet;Radiotherpiedienst;Dialysecentrum - Centre de dialyse;X;X;;;X;;;;;;;X;;Zorgprogramma oncologie - Programme de soins d'oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Soins Intensifs - Intensieve Zorgen;Lokale neonatale zorgen - Soins néonatals locaux;Regionale Perinatale zorgen - Soins Périnatals Régionaux;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés ;Service Mobile d'Urgence (SMUR) - Mobiele Urgentiegroep (MUG) ;;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;Transplantatiecentrum - Centre de transplantation ;Centrum voor menselijke erfelijkheid;;;;
146;SP;3200;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;JOLIMONT;RUE FERRER 159;7100;HAINE-SAINT-PAUL;064/23.30.11;www.entite-jolimontoise.be;F;W;Hainaut;La Louvière;Hôpital général;Privé;30;;;204;;178;24;56;;;;;;20;;;;;;;;;;;;;;512;714;;Officine Hospitaliere;Imagerie médicale avec scanner ;X (2);;Radiothérapie;Centre de dialyse;X;X;;;X;X;;;;;;;;Programme de soins d'oncologie;;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Centre Hospitalier Universitaire Tivoli - La-Louvière;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;Coordination locale des donneurs;;;;;;;
146;SS;3210;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;LOBBES;RUE DE LA STATION 25;6540;LOBBES;071/59.21.11;;F;W;Hainaut;La Louvière;;;;;;53;;40;12;24;;;;;;13;;;;;;;;;;;;;;142;;;;Imagerie médicale avec scanner;;;;;X;;;;;X;;;;;;;;;Programme de soins de base en oncologie;;;;Programme des soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
146;SS;3201;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;SAINT-VAAST;AVENUE DE l'EUROPE 25;7100;SAINT-VAAST;;;F;W;Hainaut;La Louvière;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;SP;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA (HUDERF);;AVENUE J.J. CROCQ 15;1020;BRUXELLES--2;02/477.33.11;www.huderf.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;;;;40;;;90;;;10;8;;;;20;;;;;;;;;;;;;168;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;;;;;;X;;;;C = samenwerking - collaboration avec CHU Brugmann - Bruxelles;;;;;;;Programme de soins de base en oncologie - Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;;Regionale perinatale zorgen - Soins périnatals régionaux in samenwerking met CHU Brugmann - Collaboration avec CHU Brugmann (077);Pediatrische liaison - Liaison pediatrique;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie - Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
152;SP;2910;CENTRE HOSPITALIER CHRETIEN;ST. JOSEPH LIEGE;RUE DE HESBAYE 75;4000;LIEGE-1;04/224.81.11;www.chc.be;F;W;Liège;Liège;Hôpital général;Privé;;;;105;65;67;;48;;;;;;44;;;;;;;;;;;;;;329;726;;Officine Hospitaliere;Imagerie médicale avec scanner ;X (2);;;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU Sart-Tilman de Liège (707);;;;;;Programme de soins d'oncologie;;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein ;;;;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;Coordination locale des donneurs;;;;;;;
152;SS;2940;CENTRE HOSPITALIER CHRETIEN;NOTRE-DAME HERMALLE;RUE BASSE HERMALLE 4;4681;HERMALLE-SOUS-ARGENTEAU;04/374.70.00;;F;W;Liège;Liège;;;;;;;54;;;30;;;;;;;;;20;;6;;;;;;;;;110;;;;;;;;;X;;;;;;;;;;;;;;Programme de soins de base en oncologie;;;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
152;SS;2920;CENTRE HOSPITALIER CHRETIEN;ESPERANCE MONTEGNEE;RUE ST.-NICOLAS 447;4420;MONTEGNEE;04/224.91.11;;F;W;Liège;Liège;;;;;;70;12;30;67;;;;;;;;;;20;;;;;;;;;;;199;;;;;;;;;X;;;;;;;;;;;;;;Programme de soins de base en oncologie;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H. du Bois de l'Abbaye et de Hesbaye (site Seraing) - Seraing;;;Hospitalisation chirurgicale de jour;Hospitalisation non chirurgicale de jour;;;;;;;;
