agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;nombre_de_lits_par_site;nombre_de_lits_d_hopitaux;remarques_1;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediateur;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
166;SP;3290;CHU-UCL NAMUR;SAINTE-ELISABETH;PLACE LOUISE GODIN 15;5000;NAMUR;081/72.04.11;www.chuuclnamur.be;F;W;Namur;Namur - Dinant;Hôpital général;Privé;;;;;125;15;69;20;24;;;;;;52;;;;;;;;;;;;;;305;315;;X;X (1);;X Association avec Centre Hospitalier de Mouscron (A/247);X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU-UCL Namur Mont-Godinne (A/039);;;;;;;X;X;;;X (Association avec CHU UCL Namur Mont-Godinne Agr/039);X;;;;;;X;;X;X;X;X;;;;X;;;X;X;;;;;
166;SS;2480;CHU-UCL NAMUR;FOYER SAINT-FRANCOIS;RUE LOUIS LOISEAU 39A;5000;NAMUR;081/74.13.00;;F;W;Namur;Namur - Dinant;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
168;SP;3240;VIVALIA ;HOPITAL DE BASTOGNE;AVENUE DE HOUFFALIZE 35;6800;LIBRAMONT;061/23.81.11;www.vivalia.info;F;W;Luxembourg;Luxembourg;Hôpital Général;Public;;;;;81;;70;15;60;;;;;;28;;25;32;;6;;;;;;;;;317;;;X;X (1);;;X;Association avec CHU de Liège (A/707) et Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU-UCL Namur, Mont-Godinne (A/039);;;;X;;;X (Association avec Vivalia - Hôpital d'Arlon A/264);;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
170;SP;1660;AZ OUDENAARDE;;MINDERBROEDERSSTRAAT 3;9700;OUDENAARDE;055/33.61.11;www.azoudenaarde.be;N;V;Oost-Vlaanderen;Oudenaarde;Algemeen ziekenhuis;Privaat;;;;;58;;75;15;53;;;;;;10;;;24;;;;;;;;;;;235;;De dienst pediatrie en materniteit worden uitgebaat in associatie met het Universitair Ziekenhuis Gent (E. 670);X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)";;;;;;X;;;;;X;;;;;;;;X;;;;;X (Associatie met Universitair Ziekenhuis Gent 670);X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
176;SP;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ AALST;MERESTRAAT 80;9300;AALST;053/76.41.11;www.asz.be;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;Openbaar;;;;;97;;98;24;60;;;;;;29;;;;;6;;;;;;;;;314;558;;X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)"; X Associatie met UZ Brussel (E. 143);;;;;X;X;;;X;X;;B3 = associatie met Universitair Ziekenhuis Brussel (E. 143);;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;Alternerende werking met het Onze-Lieve-Vrouw Ziekenhuis, Campus Aalst (E. 126);X;X;X;;;;2020-08-11 00:00:00
176;SS;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ GERAARDSBERGEN;GASTHUISSTRAAT 4;9500;GERAARDSBERGEN;054/43.21.11;;N;V;Oost-Vlaanderen;Aalst;;;30;;;;41;;59;;54;;;;;;;;;;;;;;;;;;;;184;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;X;X;;;;;;;X;;X;;;;;X;X;;;X;X;;;;2020-08-11 00:00:00
176;SS;1810;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ WETTEREN;WEGVOERINGSTRAAT 73;9230;WETTEREN;09/368.82.11;;N;V;Oost-Vlaanderen;Dendermonde;;;;;;;;;;;;;;;;;;;20;20;;;20;;;;;;;;60;;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;X;;;;;;;;X;;;;;;;;;X;X;;;;
204;SP;1460;AZ JAN PORTAELS ;;GENDARMERIESTRAAT 65;1800;VILVOORDE;02/254.64.00;www.azjanportaels.be;N;V;Vlaams-Brabant;Vilvoorde - Dilbeek;Algemeen ziekenhuis;Privaat;30;6;;;112;;109;15;74;;;;;;24;;;30;;6;;;;;;;;;406;;;X;X (1);"Associatie met ""PET-CT Centrum Vesalius"" (E. 689)";;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
217;SP;1900;AZ SINT-ELISABETH;;GODVEERDEGEMSTRAAT 69;9620;ZOTTEGEM;09/364.81.11;www.sezz.be;N;V;Oost-Vlaanderen;Oudenaarde;Algemeen ziekenhuis;Privaat;30;5;;;77;;103;20;48;;;;;;20;;;30;;;;;;;;;;;333;;;X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)";;;;;;X;;;;;X;;;;;;;Associatie met AZ Sint-Lucas Gent (E. 290);;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
243;SP;3590;JESSA ZIEKENHUIS;VIRGA JESSE;STADSOMVAART 11;3500;HASSELT;011/33.55.11;www.jessazh.be;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;Privaat;50;10;;;148;;235;40;30;;;20;;;56;;;;;;;;;;;;;;589;981;De dienst neuro-psychiatrie (A-bedden & a(d)- plaatsen) wordt uitgebaat in associatie met het Sint- Franciscusziekenhuis Heusden-Zolder (E. 714);X ;X (2);X (1) (Limburgs PET-Centrum);X  (Limburgs Oncologisch Centrum);X;;;;X;X;;;X;X;;;;;X;;Associatie type B met Ziekenhuis Oost-Limburg Genk (E. 371);;X;X;;;X;X;X;;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
243;SS;3570;JESSA ZIEKENHUIS;SALVATOR;SALVATORSTRAAT 20;3500;HASSELT;011/33.55.11;;N;V;Limburg;Hasselt - Genk;;;;;;;119;;37;;119;;;;;;;;;;;7;;20;;;;;;;302;;;X;X (1);;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;X;;;;;;;;X;;;;;;;;;X;X;;;;
243;SS;3580;JESSA ZIEKENHUIS;ST.-URSULA;DIESTSESTEENWEG 8;3540;HERK-DE-STAD;013/55.17.11;;N;V;Limburg;Hasselt - Genk;;;;;;;;;;;;;;;;;;;;55;35;;;;;;;;;;90;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;;;X;;;X (5 bedden);
246;SP;3690;VIVALIA ;HOPITAL D'ARLON;RUE DES DEPORTES 137;6700;ARLON;063/23.11.11;www.vivalia.info;F;W;Luxembourg;Luxembourg;Hôpital général;Public;;;;;78;30;101;20;48;;;;;;30;;;;;;30;;;;;;;;337;403;;X;X (1);;;Centre Polycentrique (Collaboration avec Vivalia - Hôpital de Marche A/164);Association avec CHU de Liège (A/707) et Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association  de CHU de Liège (A/707);;;;;;;X (Association avec Vivalia - Hôpital de Libramont A/168);;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
246;SS;3700;VIVALIA ;HOPITAL DE VIRTON;RUE DE HARNONCOURT 48;6762;SAINT-MARD;063/58.81.11;;F;W;Luxembourg;Luxembourg;;;30;;;;;;;;;;;;;;;;;30;;6;;;;;;;;;66;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;SP;2770;CENTRE HOSPITALIER DE MOUSCRON;;AVENUE DE FECAMP 49;7700;MOUSCRON;056/85.85.85;www.chmouscron.be;F;W;Hainaut;Tournai - Mouscron;Hôpital général;Privé;30;6;;;84;44;97;16;40;;;;;;18;;;;;;;20;;;;;;;355;;;X;X(1);Association avec CHWAPI Tournai (A/534);Association avec CHU-UCL Namur - Clinique Ste. Elisabeth Namur (A/166);X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;;;;;X;;X;;X;X;;;;;;X;;X;X;;X;;;;X;X;;X;X;X;;;;
249;SP;3160;CENTRE DE SANTE DES FAGNES;;BOULEVARD LOUISE 18;6460;CHIMAY;060/21.88.11;www.csf.be;F;W;Hainaut;Charleroi;Hôpital général;Public;;;;;30;30;30;15;24;;;;;;15;;;;;;;;;;;;;;144;;;X;Association avec CHU-UCL Namur Dinant (A/264);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;;;;;
254;SP;2730;CHU AMBROISE PARE;;BOULEVARD KENNEDY 2;7000;MONS;065/41.40.00;www.hap.be;F;W;Hainaut;Mons;Hôpital général à caractère universitaire;Public;30;;;;95;33;90;27;74;;;;;;20;;;20;20;6;;;;;;;;;415;;;X;X (1);;;;Association avec Hôpital Erasme Bruxelles (A/406);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec C.H.U. de Charleroi (A/718);;;X;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;Exploité en alternance avec Groupe Jolimont, Site Hôpital de Mons (A/266);X;X;X;;;;
257;SP;2980;KLINIK ST. JOSEF;;KLOSTERSTRASSE 9;4780;SANKT-VITH;080/85.44.11;www.klinik.be;F;W;Lüttich;Verviers;Allgemein krankenhaus;Privé;30;8;;;;75;;;;;;;;;10;;;;;;20;;;;;;;;143;156;;X;X (1);;;;Association avec CHU de Liège (A/707);;;X;;;;;X;;;X;;;;;X;;;;;;;;;;;;X;;;;X;X;;;;X;X;;X;X;X;;X;;
257;SS;2981;KLINIK ST. JOSEF;HOPITAL DE JOUR  PSYCHIATRIQUE;VERVIERSER STRASSE 26;4700;EUPEN;087/59.83.07;;F;W;Lüttich;Verviers;;;;7;;;;;;;;;;6;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;SP;3260;CHU-UCL NAMUR;DINANT;RUE ST.-JACQUES 501;5500;DINANT;082/21.24.11;www.chuuclnamur.be;F;W;Namur;Namur - Dinant;Hôpital général;Privé;;;;;35;41;70;15;30;;;;;;20;;;;;;;;;;;;;;211;235;;X;RMN Mobile X (1);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
264;SS;3270;CHU-UCL NAMUR;STE. ANNE;RUE PONT D'AMOUR 50;5500;DINANT;082/22.40.44;;F;W;Namur;Namur - Dinant;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;SP;1650;ALGEMEEN ZIEKENHUIS LOKEREN;;LEPELSTRAAT 2;9160;LOKEREN;09/340.81.11;www.azlokeren.be;N;V;Oost-Vlaanderen;Sint-Niklaas;Algemeen ziekenhuis;Privaat;;;;;44;;44;15;48;;;;;;19;;;;;;;;;;;;;;170;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;;X;X;X;;;;
266;SP;2710;GROUPE JOLIMONT;HOPITAL DE MONS;AV. B. DE CONSTANTINOPLE 5;7000;MONS;065/38.55.11;www.jolimont.be;F;W;Hainaut;Mons;Hôpital général;Privé;;;;;46;6;78;15;48;;;20;;;15;;;;;6;23;;;;;;;;257;426;;X;;;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programme partiels B1-B2 est utilisé en association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;;;;;X;;X;;X;X;;;;;;X;;X;X;;X;;;;X;X;Exploité en alternance avec CHU Ambroise Paré Mons (A/254);X;X;X;;;;
266;SS;2720;GROUPE JOLIMONT;HOPITAL DE WARQUIGNIES;RUE DES CHAUFOURS 27;7300;BOUSSU;065/38.55.11;;F;W;Hainaut;Mons;;;;;;;30;6;32;;48;;;;;;;;;27;26;;;;;;;;;;169;;;X;X (1);;;;;;;X;;;;X;X;;;;;;;;;X;;;;;X;;;;;;;;X;;X;;;;;X;X;Exploité en alternance avec Centre Hospitalier EpiCura, Site Hornu (A/410);;X;X;;;X (6 lits);
290;SP;1630;AZ SINT-LUCAS;SINT-LUCAS;GROENEBRIEL 1;9000;GENT;09/224.61.11;www.azstlucas.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;30;13;;;179;;214;35;125;;;2;4;;62;;23;;50;12;30;;;;;;;;779;779;De 2 k(d)- plaatsen en 4 k(n)- bedden worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen. De bedden en plaaten zijn geëxploiteerd in PC Gent - Sleidinge (E.992);X ;X (2);X (1) (PET-CT Centrum zorgregio Gent/Eeklo/Deinze);X;X;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met Universitair Ziekenhuis Gent (E.670);;;X;;;;X;X;;;X;X;X;X;X;X;;X (Magazijn en goederenonthaal gevestigd Logboekstraat 5, 9000 Gent;;X;X;X;X;;;;X;X;Alternerende werking met AZ Jan Palfijn Gent (E. 713);X;X;X;;;;
290;SS;1640;AZ SINT-LUCAS;VOLKSKLINIEK;TICHELREI 1;9000;GENT;09/224.56.11;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
300;SP;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;;WILRIJKSTRAAT 10;2650;EDEGEM;03/821.30.00;www.uza.be;N;V;Antwerpen;Antwerpen;Universitair ziekenhuis;Privaat;;;;;246;;250;38;;;;;;;20;19;;;;;;;;;;;;;573;;Associatie met het UPC Duffel mbt de gezamelijke exploitatie van 90 A- bedden met korte verblijfsduur gericht op psychose angst en depressie en wachtdienst, deze diensten zijn gevestigd in het UPC Duffel, Stationsstraat 22C te 2570 Duffel (E. 970). De dienst ambulante consultatie psychiatrie, het universitair forensisch centrum, de crisis- en liaisonpsychiatrie en de psychiatrische wachtdienst zijn gelokaliseerd in het UZA, Edegem (E. 300);X;X (3);X (1);Associatie met Iridium Kankernetwerk Antwerpen;X;X;X;;X;X;;;X;X;X;;;;;X;;;X (Associatie met AZ Monica Antwerpen E. 682);X;;;X;;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;X;X;;;
308;SP;1250;AZ HERENTALS;;NEDERRIJ 133;2200;HERENTALS;014/24.61.11;www.azherentals.be;N;V;Antwerpen;Geel;Algemeen ziekenhuis;Privaat;;;;;84;;70;15;24;;;;;;20;;;30;;;;;;;;;;;243;;;X;X (1) ;;;;;;;X;;;;;X;;;;;;;;X;;Associatie met het AZ Turnhout (E. 063);;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
310;SP;1980;AZ WEST;;IEPERSE STEENWEG 100;8630;VEURNE;058/33.31.11;www.azwest.be;N;V;West-Vlaanderen;Oostende;Algemeen ziekenhuis;Privaat;30;;;;61;;50;17;48;;;;;;18;;;;;;;;;;;;;;224;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
322;SP;4230;UZ LEUVEN;GASTHUISBERG;HERESTRAAT 49;3000;LEUVEN;016/33.22.11;www.uzleuven.be;N;V;Vlaams-Brabant;Leuven;Universitair ziekenhuis;Privaat;;;;;633;6;579;128;101;;40;30;;8;65;35;;;;9;;;;;;;;;1634;1764;Zie notitie K- bedden en K(d) plaatsen;X;X (4);X (1);X;X;X;X;X;X;X;;X;X;X;X;;;;;X;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;;
322;SS;4260;UZ LEUVEN;STADSCAMPUS;BRUSSELSESTRAAT 69;3000;LEUVEN;016/34.49.00;;N;V;Vlaams-Brabant;Leuven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
322;SS;4270;UZ LEUVEN;PELLENBERG;WELIGERVELD 1;3212;PELLENBERG;016/33.22.11;;N;V;Vlaams-Brabant;Leuven;;;;;;;;;24;;34;;;;;;;;;72;;;;;;;;;;;130;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;X;;;X (5 bedden);
325;SP;2750;C.H.U. DE CHARLEROI - HOPITAL ANDRE VESALE;ANDRE VESALE;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.15.11;www.chu-charleroi.be;F;W;Hainaut;Charleroi;Hôpital général à caractère universitaire;Public;;;;;71;65;102;15;78;;;;;;12;;;;;;20;;;;;;;;363;536;;X;X (1);;X;X;Association avec Hôpital Erasme Bruxelles (A/406);;;X;;;;X;X;;;;;;;;;X;;;;X;X;;;;;;X;Association avec C.H.U. de Charleroi (A/718);X;X;X;X;;;;X;X;;X;X;X;;;;
325;SS;VH12;C.H.U. DE CHARLEROI - HOPITAL ANDRE VESALE;LEONARD DE VINCI;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.38.73;;F;W;Hainaut;Charleroi;;;;;;;;;;;;;;;;;;;45;25;95;8;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (5 lits);
332;SP;6140;CHIREC - HOPITAL DELTA;DELTA;BOULEVARD DU TRIOMPHE 201;1160;BRUXELLES-16;02/434.81.11;www.chirec.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;;;;;30;172;60;20;48;;;;;;50;15;;43;;;;;;;;;;;438;438;;X;X (1);X  (1) (Association Bruxelles Pet-Scan Brussel);X;X;;;;X;;;;;X;;;;;X;;;;X;X;;;X;X;;;;;;X;;X;;X;X;X;;;X;X;"Association ""Bruxelles - SMUR""";X;X;X;;X;;
332;SS;6180;CHIREC - HOPITAL DELTA;CENTRE MEDICAL EDITH CAVELL;RUE GENERAL LOTZ 37;1180;BRUXELLES-18;;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
346;SP;1710;GROUPE JOLIMONT;HOPITAL DE NIVELLES;RUE SAMIETTE 1;1400;NIVELLES;067/88.52.11;www.jolimont.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital général;Privé;;;;;50;;56;;75;;;;;;;;;;;;20;;;;;;;;201;221;;X;;;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
346;SS;1720;GROUPE JOLIMONT;HOPITAL DE TUBIZE;AVENUE DE SCANDIANO 8;1480;TUBIZE;02/391.01.30;;F;W;Brabant Wallon;Brabant Wallon;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;20;;"Les 20 places k(j) exploité en association avec Clinique Notre-Dame de Grâce à Gosselies (A/409) et ""Les Feux Follets"" à Wangenies (A/949)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;SP;3560;ZIEKENHUIS OOST - LIMBURG;SINT-JAN;SCHIEPSE BOS 6;3600;GENK;089/32.50.50;www.zol.be;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;Openbaar;30;12;;;207;;214;25;96;;;;;;60;17;;;;9;;;;;;;;;670;811;;X;X (2);X (1) (Limburgs PET-Centrum);X Associatie met Jessaziekenhuis, Hasselt (E. 243);X;;;;X;X;;;X;X;;;;;;X;Associatie met Jessa Ziekenhuis Hasselt (E. 243);;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;;;X;X;;X;X;X;;;;
371;SS;3040;ZIEKENHUIS OOST - LIMBURG;SINT-BARBARA;BESSEMERSTRAAT 478;3620;LANAKEN;089/32.50.50;;N;V;Limburg;Hasselt - Genk;;;;;;;34;;25;;30;;;;;;;;;22;;;;30;;;;;;;141;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;X;X;;;;
392;SP;6160;AZ ZENO;KNOKKE-HEIST;KALVEKEETDIJK 260;8300;KNOKKE-HEIST;050/53.50.00;www.azzeno.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;Privaat;30;;;;85;;100;15;27;;;;;;13;;;;;;;;;;;;;;270;334;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
392;SS;1040;AZ ZENO;BLANKENBERGE;DR. VERHAEGHESTRAAT 1;8370;BLANKENBERGE;050/53.40.00;;N;V;West-Vlaanderen;Brugge;;;;;;;;;;;24;;;;;;;;20;20;;;;;;;;;;;64;;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;X;;;;X;;;;;X;X;;;;
395;SP;1170;SINT-ANDRIES ZIEKENHUIS;;BRUGGESTRAAT 84;8700;TIELT;051/42.51.11;www.sintandriestielt.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;30;;;;75;;75;20;48;;;;;;18;;;;;;;;;;;;;;266;;Ziekenhuisgroepering met AZ Delta Roeselare (E. 117);X;X (1) Associatie met AZ Delta Roeselare (E. 117);;;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
396;SP;1090;AZ GROENINGE;KENNEDYLAAN;PRESIDENT KENNEDYLAAN 4;8500;KORTRIJK;056/63.63.63;www.azgroeninge.be;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;Privaat;60;18;;;256;;338;48;120;;;6;;;48;;25;;;;;30;;;;;;;949;1049;De 6 k(d)- plaatsen worden uitgebaat door de associatie Kinder- & Jeugdpsychiatrie. De plaatsen zijn gelokaliseerd in Kliniek Heilige Familie, Groeningepoort 4 te 8500 Kortrijk (E.528);X ;X (2);X (1) (Associatie AZ Sint- Jan Brugge - AZ Delta Roeselare - AZ Groeninge Kortrijk);X;X;;;;X;;X;;X;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met AZ Maria Middelares Gent (E.017);;;X;;;;X;X;;;X;X;X;X;X;X;;X;Associatie met PZ Heilige Familie Kortrijk (E. 528);X;X;X;X;;;;X;X;;X;X;X;;;;
396;SS;1060;AZ GROENINGE;STADSCAMPUS;REEPKAAI 4;8500;KORTRIJK;056/63.63.63;;N;V;West-Vlaanderen;Kortrijk;;;;;;;;;;;;;;;;;;;;30;;10;60;;;;;;;;100;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;
397;SP;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;;VIJFSEWEG 150;8790;WAREGEM;056/62.31.11;www.ziekenhuiswaregem.be;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;Privaat;30;;;;58;;65;15;48;;;6;;;22;;;20;;;;;;;;;;;264;;De 6 k(d)- plaatsen worden uitgebaat door de associatie Kinder- & Jeugdpsychiatrie. De plaatsen zijn gelokaliseerd in Kliniek Heilige Familie, Groeningepoort 4 te 8500 Kortrijk (E. 528);X;X (1);;;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;;X;X;X;;;;
403;SP;4190;CLINIQUES UNIVERSITAIRES SAINT-LUC (UCL);;AVENUE HIPPOCRATE 10;1200;BRUXELLES-20;02/764.11.11;www.saintluc.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;24;;;;324;;357;99;48;;5;30;;;36;22;;28;;;;;;;;;;;973;;;X;X (3);X (1);X;X;X;X;;X;X;;X;X;X;X;;;;;X;;;X;X;;;X;X;;;;;;X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;;
