agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;region;langue;province;reseau_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t_j;t_n;tfb;tfp;tg;nombre_total_de_lits_et_ou_de_places_par_site;nombre_total_de_lits_et_ou_places_par_l_hopital;remarques;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu_s1;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives_s2;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediation;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
166;SS;2480;CHU-UCL NAMUR;FOYER SAINT-FRANCOIS;RUE LOUIS LOISEAU 39A;5000;NAMUR;081/74.13.00;;W;;Namur;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;SP;3240;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;LIBRAMONT;AVENUE DE HOUFFALIZE 35;6800;LIBRAMONT;061/23.81.11;www.vivalia.be;W;F;Luxembourg;;Hôpital Général;Public;;;;;68;;58;15;60;;;;;;28;;25;32;;6;;;;;;;;;292;388;;X;X (1);;;X;Association avec CHU de Liège (A/707) et Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU-UCL Namur - Site Godinne (A/039);;;;X;;;X (Association avec Vivalia - Hôpital d'Arlon A/264);;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;2021-07-01 00:00:00
168;SS;3720;VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE;BASTOGNE;CHAUSSEE DE HOUFFALIZE 1;6600;BASTOGNE;061/24.01.11;;W;;Luxembourg;;;;;;;;36;;36;;24;;;;;;;;;;;;;;;;;;;;96;;;X;;;;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;;;;;;X;;X;;;;;X;X;;;X;X;;;;2021-07-01 00:00:00
170;SP;1660;AZ OUDENAARDE;;MINDERBROEDERSSTRAAT 3;9700;OUDENAARDE;055/33.61.11;www.azoudenaarde.be;V;N;Oost-Vlaanderen;GENT Vzw;Algemeen ziekenhuis;Privaat;;;;;58;;75;15;53;;;;;;10;;;24;;;;;;;;;;;235;;De dienst kindergeneeskunde (E) en materniteit (M) worden uitgebaat in associatie met het Universitair Ziekenhuis Gent (E. 670);X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)";;;;;;X;;;;;X;;;;;;;;X;;;;;X (Associatie met Universitair Ziekenhuis Gent E. 670);X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
176;SP;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ AALST;MERESTRAAT 80;9300;AALST;053/76.41.11;www.asz.be;V;N;Oost-Vlaanderen;CUROZ Vzw;Algemeen ziekenhuis;Openbaar;30;;;;91;;93;24;60;;;;;;29;;;;;6;;;;;;;;;333;551;;X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)"; X Associatie met UZ Brussel (E. 143);;;;;X;X;;;X;X;;B3 = associatie met Universitair Ziekenhuis Brussel (E. 143);;;;;;;X;X;;;X;X;X;X;X;X;;X (Magazijn steriel materiaal is gevestigd Industrielaan 27/5 9320 Erembodegem);;X;X;X;X;;;;X;X;Alternerende werking met het Onze-Lieve-Vrouw Ziekenhuis, Campus Aalst (E. 126);X;X;X;;;;
176;SS;1820;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ GERAARDSBERGEN;GASTHUISSTRAAT 4;9500;GERAARDSBERGEN;054/43.21.11;;V;;Oost-Vlaanderen;;;;;;;;32;;52;;54;;;;;;;;;20;;;;;;;;;;;158;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;X;X;;;;;;;X;;X;;;;;X;X;;;X;X;;;;
176;SS;1810;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;ASZ WETTEREN;WEGVOERINGSTRAAT 73;9230;WETTEREN;09/368.82.11;;V;;Oost-Vlaanderen;;;;;;;;;;;;;;;;;;;;20;20;;;20;;;;;;;;60;;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;X;;;;;;;;X;;;;;;;;;X;X;;;;
204;SP;1460;AZ JAN PORTAELS ;;GENDARMERIESTRAAT 65;1800;VILVOORDE;02/254.64.00;www.azjanportaels.be;V;N;Vlaams-Brabant;BRIANT Vzw;Algemeen ziekenhuis;Privaat;30;6;;;112;;109;15;74;;;;;;24;;;30;;6;;;;;;;;;406;;;X;X (1);Associatie met PET-CT Centrum Vesalius Bonheiden (E. 689);;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
217;SP;1900;AZ SINT-ELISABETH;;GODVEERDEGEMSTRAAT 69;9620;ZOTTEGEM;09/364.81.11;www.sezz.be;V;N;Oost-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;30;5;;;77;;103;20;48;;;;;;20;;;30;;;;;;;;;;;333;;;X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)";;;;;;X;;;;;X;;;;;;;Associatie met AZ Sint-Lucas Gent (E. 290);;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
243;SP;3590;JESSA ZIEKENHUIS;VIRGA JESSE;STADSOMVAART 11;3500;HASSELT;011/33.55.11;www.jessazh.be;V;N;Limburg;;Algemeen ziekenhuis met universitair karakter;Privaat;50;10;;;148;;235;40;30;;;20;;;56;;;;;;;;;;;;;;589;981;De dienst neuro-psychiatrie (A-bedden & a(d)- plaatsen) wordt uitgebaat in associatie met het Sint- Franciscusziekenhuis Heusden-Zolder (E. 714);X ;X (2);X (1) (Limburgs PET-Centrum);X  (Limburgs Oncologisch Centrum);X;;;;X;X;;;X;X;;;;;X;;Associatie type B met Ziekenhuis Oost-Limburg Genk (E. 371);;X;X;;;X;X;X;;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
243;SS;3570;JESSA ZIEKENHUIS;SALVATOR;SALVATORSTRAAT 20;3500;HASSELT;011/33.55.11;;V;;Limburg;;;;;;;;119;;37;;119;;;;;;;;;;;7;;20;;;;;;;302;;;X;X (1);;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;X;;;;;;;;X;;;;;;;;;X;X;;;;
243;SS;3580;JESSA ZIEKENHUIS;ST.-URSULA;DIESTSESTEENWEG 8;3540;HERK-DE-STAD;013/55.17.11;;V;;Limburg;;;;;;;;;;;;;;;;;;;;;55;35;;;;;;;;;;90;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;;;X;;;X (5 bedden);
246;SP;3690;VIVALIA ;HOPITAL D'ARLON;RUE DES DEPORTES 137;6700;ARLON;063/23.11.11;www.vivalia.be;W;F;Luxembourg;;Hôpital général;Public;;;;;78;30;101;20;48;;;;;;30;;;;;;30;;;;;;;;337;403;;X;X (1);;;Centre Polycentrique (Collaboration avec Vivalia - Hôpital de Marche A/164);Association avec CHU de Liège (A/707) et Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association  de CHU de Liège (A/707);;;;;;;X (Association avec Vivalia - Hôpital de Libramont A/168);;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
246;SS;3700;VIVALIA ;HOPITAL DE VIRTON;RUE D'HARNONCOURT 48;6762;SAINT-MARD;063/58.81.11;;W;;Luxembourg;;;;30;;;;;;;;;;;;;;;;;30;;6;;;;;;;;;66;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;SP;2770;CENTRE HOSPITALIER DE MOUSCRON;;AVENUE DE FECAMP 49;7700;MOUSCRON;056/85.85.85;www.chmouscron.be;W;F;Hainaut;Réseau PHARE;Hôpital général;Privé;30;6;;;84;44;97;16;40;;;;;;18;;;;;;;20;;;;;;;355;;;X;X(1);Association ARIANE Tournai (A/534);Association avec CHU-UCL Namur - Clinique Ste. Elisabeth Namur (A/166);X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;;;;;X;;X;;X;X;;;;;;X;;X;X;;X;;;;X;X;;X;X;X;;;;
249;SP;3160;CENTRE DE SANTE DES FAGNES;;BOULEVARD LOUISE 18;6460;CHIMAY;060/21.88.11;www.csf.be;W;F;Hainaut;;Hôpital général;Public;;;;;30;30;30;15;24;;;;;;15;;;;;;;;;;;;;;144;;;X;Association avec CHU-UCL Namur Dinant (A/264);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;;;;;
254;SP;2730;CHU AMBROISE PARE;;BOULEVARD KENNEDY 2;7000;MONS;065/41.40.00;www.hap.be;W;F;Hainaut;;Hôpital général à caractère universitaire;Public;30;;;;95;33;90;27;74;;;;;;20;;;20;20;6;;;;;;;;;415;;;X;X (1);;Association avec CHU A. Vésale Montigny-Le-Tilleul (A/325) et CHU Tivoli La Louvière (A/096);;Association avec Hôpital Erasme Bruxelles (A/406);;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU de Charleroi (A/718);;;X;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;Exploité en alternance avec Groupe Jolimont, Site Hôpital de Mons (A/266);X;X;X;;X;;
257;SP;2980;KLINIK ST. JOSEF;;KLOSTERSTRASSE 9;4780;SANKT-VITH;080/85.44.11;www.klinik.be;W;F;Lüttich;;Allgemein krankenhaus;Privé;30;8;;;;75;;;;;;;;;10;;;;;;20;;;;;;;;143;156;;X;X (1);;;;Association avec CHU de Liège (A/707);;;X;;;;;X;;;X;;;;;X;;;;;;;;;;;;X;;;;X;X;;;;X;X;;X;X;X;;X;;
257;SS;2981;KLINIK ST. JOSEF;HOPITAL DE JOUR  PSYCHIATRIQUE;VERVIERSER STRASSE 26;4700;EUPEN;087/59.83.07;;W;;Lüttich;;;;;7;;;;;;;;;;6;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;SP;3260;CHU-UCL NAMUR - HOPITAL DINANT;SAINT-VINCENT;RUE ST.-JACQUES 501;5500;DINANT;082/21.24.11;www.chuuclnamur.be;W;F;Namur;;Hôpital général;Privé;;;;;35;41;70;15;30;;;;;;20;;;;;;;;;;;;;;211;235;;X;RMN Mobile X (1);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
264;SS;3270;CHU-UCL NAMUR - HOPITAL DINANT;SAINTE-ANNE;RUE PONT D'AMOUR 50;5500;DINANT;082/22.40.44;;W;;Namur;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;SP;1650;ALGEMEEN ZIEKENHUIS LOKEREN;;LEPELSTRAAT 2;9160;LOKEREN;09/340.81.11;www.azlokeren.be;V;N;Oost-Vlaanderen;MIRA Vzw;Algemeen ziekenhuis;Privaat;;;;;44;;44;15;48;;;;;;19;;;;;;;;;;;;;;170;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;;X;X;X;;;;2021-07-29 00:00:00
266;SP;2710;GROUPE JOLIMONT;HOPITAL DE MONS;AV. B. DE CONSTANTINOPLE 5;7000;MONS;065/38.55.11;www.jolimont.be;W;F;Hainaut;;Hôpital général;Privé;;;;;46;6;78;15;48;;;20;;;15;;;;;6;23;;;;;;;;257;426;;X;;;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programme partiels B1-B2 est utilisé en association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;;;;;X;;X;;X;X;;;;;;X;;X;X;;X;;;;X;X;Exploité en alternance avec CHU Ambroise Paré Mons (A/254);X;X;X;;;;
266;SS;2720;GROUPE JOLIMONT;HOPITAL DE WARQUIGNIES;RUE DES CHAUFOURS 27;7300;BOUSSU;065/38.55.11;;W;;Hainaut;;;;;;;;30;6;32;;48;;;;;;;;;27;26;;;;;;;;;;169;;;X;X (1);;;;;;;X;;;;X;X;;;;;;;;;X;;;;;X;;;;;;;;X;;X;;;;;X;X;Exploité en alternance avec Centre Hospitalier EpiCura, Site Hornu (A/410);;X;X;;;X (6 lits);
290;SP;1630;AZ SINT-LUCAS;;GROENEBRIEL 1;9000;GENT;09/224.61.11;www.azstlucas.be;V;N;Oost-Vlaanderen;GENT Vzw;Algemeen ziekenhuis;Privaat;30;13;;;179;;214;35;125;;;2;4;;62;;23;;50;12;30;;;;;;;;779;779;De 2 k(d)- plaatsen en 4 k(n)- bedden worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen. De bedden en plaaten zijn geëxploiteerd in PC Gent - Sleidinge (E.992);X ;X (2);X (1) (PET-CT Centrum zorgregio Gent/Eeklo/Deinze);X;X;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met Universitair Ziekenhuis Gent (E.670);;;X;;;;X;X;;;X;X;X;X;X;X;;X (Magazijn en goederenonthaal gevestigd Logboekstraat 5, 9000 Gent;;X;X;X;X;;;;X;X;Alternerende werking met AZ Jan Palfijn Gent (E. 713);X;X;X;;;;
300;SP;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN (UZA);;DRIE EIKENSTRAAT 655;2650;EDEGEM;03/821.30.00;www.uza.be;V;N;Antwerpen;HELIX Vzw;Universitair ziekenhuis;Privaat;;;;;246;;226;38;24;;;;;;20;19;;;;;;;;;;;;;573;;Associatie met het UPC Duffel mbt de gezamelijke exploitatie van 90 A- bedden met korte verblijfsduur gericht op psychose angst en depressie en wachtdienst, deze diensten zijn gevestigd in het UPC Duffel, Stationsstraat 22C te 2570 Duffel (E. 970). De dienst ambulante consultatie psychiatrie, het universitair forensisch centrum, de crisis- en liaisonpsychiatrie en de psychiatrische wachtdienst zijn gelokaliseerd in het UZA, Edegem (E. 300);X;X (3);X (1) (Associatie DA VINCI PET/CT- Centrum);Associatie met Iridium netwerk Antwerpen;X;X;X;;X;X;;;X;X;X;;;;;X;;;X (Associatie met AZ Monica Antwerpen E. 682);X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;;;X;X;;X;X;X;X;;;
308;SP;1250;AZ HERENTALS;;NEDERRIJ 133;2200;HERENTALS;014/24.61.11;www.azherentals.be;V;N;Antwerpen;KEMPEN Vzw;Algemeen ziekenhuis;Privaat;;;;;84;;70;15;24;;;;;;20;;;30;;;;;;;;;;;243;;;X;X (1) ;;;;;;;X;;;;;X;;;;;;;;X;;Associatie met het AZ Turnhout (E. 063);;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
310;SP;1980;AZ WEST;;IEPERSE STEENWEG 100;8630;VEURNE;058/33.31.11;www.azwest.be;V;N;West-Vlaanderen;KOM Netwerk Vzw;Algemeen ziekenhuis;Privaat;30;;;;61;;50;17;48;;;;;;18;;;;;;;;;;;;;;224;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
322;SP;4230;UZ LEUVEN;GASTHUISBERG;HERESTRAAT 49;3000;LEUVEN;016/33.22.11;www.uzleuven.be;V;N;Vlaams-Brabant;PLEXUS Vzw;Universitair ziekenhuis;Privaat;;;;;601;6;579;128;101;;40;40;;8;65;35;;;;9;;;;;;;;;1612;1754;De 40 K- bedden en 52 k(d)- plaatsen worden uitgebaat door de associatie UPC KULeuven;X;X (4);X (1);X;X;X;X;X;X;X;;X;X;X;X;;;;;X;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;;2021-07-07 00:00:00
322;SS;4260;UZ LEUVEN;STADSCAMPUS;BRUSSELSESTRAAT 69;3000;LEUVEN;016/34.49.00;;V;;Vlaams-Brabant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
322;SS;4270;UZ LEUVEN;PELLENBERG;WELIGERVELD 1;3212;PELLENBERG;016/33.22.11;;V;;Vlaams-Brabant;;;;;;;;;;24;;34;;;12;;;;;;72;;;;;;;;;;;142;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;X;;;X (5 bedden);2021-07-07 00:00:00
325;SP;2750;CHU DE CHARLEROI - HOPITAL CHU ANDRE VESALE;CHU ANDRE VESALE;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.15.11;www.chu-charleroi.be;W;F;Hainaut;;Hôpital général à caractère universitaire;Public;;;;;71;65;102;;78;;;;;;;;;;;;20;;;;;;;;336;509;;X;X (1);;X;X;Association avec Hôpital Erasme Bruxelles (A/406);;;X;;;;X;X;;;;;;;;;X;;;;;X;;;;;;X;Association avec C.H.U. de Charleroi (A/718);X;X;X;;;;;X;X;;X;X;X;;;;2021-07-01 00:00:00
325;SS;VH12;CHU DE CHARLEROI - HOPITAL CHU ANDRE VESALE;LEONARD DE VINCI;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.38.73;;W;;Hainaut;;;;;;;;;;;;;;;;;;;;45;25;95;8;;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (5 lits neurologiques);
332;SP;6140;CHIREC - HOPITAL DELTA;DELTA;BOULEVARD DU TRIOMPHE 201;1160;BRUXELLES (OUDERGHEM);02/434.81.11;www.chirec.be;B;F-N;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;;;;;30;172;60;20;48;;;;;;50;15;;43;;;;;;;;;;;438;438;;X;X (1);X  (1) (Association Bruxelles Pet-Scan Brussel);X;X;;;;X;;X;;;X;;Les programme partiels B1-B2 est utilisé en association avec Hôpital Erasme Bruxelles (A/406) et CHU Tivoli La Louvière (A/096);;;X;;;;X;X;;;X;X;;;;;;X;;X;;X;X;X;;;X;X;"Association ""Bruxelles - SMUR""";X;X;X;;X;;
332;SS;6180;CHIREC - HOPITAL DELTA;CENTRE MEDICAL EDITH CAVELL;RUE GENERAL LOTZ 37;1180;BRUXELLES-18;;;B;;Brussel-Bruxelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
346;SP;1710;GROUPE JOLIMONT;HOPITAL DE NIVELLES;RUE SAMIETTE 1;1400;NIVELLES;067/88.52.11;www.jolimont.be;W;F;Brabant Wallon;;Hôpital général;Privé;;;;;26;;48;;75;;;;;;;;;;;;20;;;;;;;;169;219;;X;;;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;;X;;X;;X;;;;;X;X;;X;X;X;;;;
346;SS;1720;GROUPE JOLIMONT;HOPITAL DE TUBIZE;AVENUE DE SCANDIANO 8;1480;TUBIZE;02/391.01.30;;W;;Brabant Wallon;;;;;30;;;;;;;;;;20;;;;;;;;;;;;;;;;;50;;Les 20 places k(j) exploité en association avec Clinique Notre-Dame de Grâce à Gosselies (A/409) et Les Feux Follets à Wangenies (A/949);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;SP;3560;ZIEKENHUIS OOST - LIMBURG;SINT-JAN;SCHIEPSE BOS 6;3600;GENK;089/32.50.50;www.zol.be;V;N;Limburg;Noord-Oost Limburg Vzw;Algemeen ziekenhuis met universitair karakter;Openbaar;30;12;;;207;;214;25;96;;;6;;;60;17;;;;9;;;;;;;;;676;805;De 6 k(d)- plaatsen worden uitgebaat in functie van de associatie Kinderpsychiatrisch Centrum Genk. De 6 k(d)- plaatsen zijn tijdelijk gelokliseerd in het PZ Asster, Campus Melveren, Sint-Truiden (E. 991);X;X (2);X (1) (Limburgs PET-Centrum);X Associatie met Jessaziekenhuis, Hasselt (E. 243);X;;;;X;X;;;X;X;;;;;;X;Associatie met Jessa Ziekenhuis Hasselt (E. 243);;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;;;X;X;;X;X;X;;;;
371;SS;3040;ZIEKENHUIS OOST - LIMBURG;SINT-BARBARA;BESSEMERSTRAAT 478;3620;LANAKEN;089/32.50.50;;V;;Limburg;;;;;;;;28;;19;;30;;;;;;;;;22;;;;30;;;;;;;129;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;X;X;;;;
392;SP;6160;AZ ZENO;KNOKKE-HEIST;KALVEKEETDIJK 260;8300;KNOKKE-HEIST;050/53.50.00;www.azzeno.be;V;N;West-Vlaanderen;KOM Netwerk Vzw;Algemeen ziekenhuis;Privaat;30;;;;85;;100;15;27;;;;;;13;;;;;;;;;;;;;;270;334;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
392;SS;1040;AZ ZENO;BLANKENBERGE;DR. VERHAEGHESTRAAT 1;8370;BLANKENBERGE;050/53.40.00;;V;;West-Vlaanderen;;;;;;;;;;;;24;;;;;;;;20;20;;;;;;;;;;;64;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;X;;;;X;;;;;X;X;;;;
395;SP;1170;SINT-ANDRIESZIEKENHUIS;;BRUGGESTRAAT 84;8700;TIELT;051/42.51.11;www.sintandriestielt.be;V;N;West-Vlaanderen;TRIaz Vzw;Algemeen ziekenhuis;Privaat;30;6;;;69;;75;20;48;;;;;;18;;;;;;;21;;;;;;;287;;;X;X (1) Associatie met AZ Delta Roeselare (E. 117);;;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
396;SP;1090;AZ GROENINGE;KENNEDYLAAN;PRESIDENT KENNEDYLAAN 4;8500;KORTRIJK;056/63.63.63;www.azgroeninge.be;V;N;West-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;67;19;;;245;;338;48;120;;;6;;;48;;25;;;;;30;;;;;;;946;1046;De 6 k(d)- plaatsen worden uitgebaat door de associatie Kinder- & Jeugdpsychiatrie. De 6 plaatsen zijn gelokaliseerd in Kliniek Heilige Familie, Groeningepoort 4 te 8500 Kortrijk (E.528);X ;X (2);X (1) (Associatie AZ Sint- Jan Brugge - AZ Delta Roeselare - AZ Groeninge Kortrijk);X;X;;;;X;;X;;X;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met AZ Maria Middelares Gent (E.017);;;X;;;;X;X;;;X;X;X;X;X;X;;X;Associatie met PZ Heilige Familie Kortrijk (E. 528);X;X;X;X;;;;X;X;;X;X;X;;;;
396;SS;1060;AZ GROENINGE;STADSCAMPUS;REEPKAAI 4;8500;KORTRIJK;056/63.63.63;;V;;West-Vlaanderen;;;;;;;;;;;;;;;;;;;;;30;;10;60;;;;;;;;100;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;
397;SP;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;;VIJFSEWEG 150;8790;WAREGEM;056/62.31.11;www.ziekenhuiswaregem.be;V;N;West-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;30;5;;;58;;60;15;48;;;6;;;22;;;20;;;;;;;;;;;264;;De 6 k(d)- plaatsen worden uitgebaat door de associatie Kinder- & Jeugdpsychiatrie regio Kortrijk - Waregem. De 6 plaatsen zijn gelokaliseerd in Kliniek Heilige Familie, Groeningepoort 4 te 8500 Kortrijk (E. 528);X;X (1);;;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;;X;X;X;;;;
403;SP;4190;CLINIQUES UNIVERSITAIRES SAINT-LUC (UCL);;AVENUE HIPPOCRATE 10;1200;BRUXELLES (WOLUWE-SAINT-LAMBERT);02/764.11.11;www.saintluc.be;B;F;Brussel-Bruxelles;;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;24;;;;324;;357;99;48;;5;30;;;36;22;;28;;;;;;;;;;;973;;;X;X (3);X (1);X;X;X;X;;X;X;;X;X;X;X;;;;;X;;;X;X;;;X;X;;;;;;X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;;
