erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
102;SP;2080;HEILIG HARTZIEKENHUIS V.Z.W.;;GASTHUISSTRAAT 1;2400;MOL;014/71.20.00;www.azmol.be;N;V;Antwerpen;Geel;Algemeen ziekenhuis;Privaat;;;;55;;59;16;38;;;;;;15;;;;;;;;;;;;;;183;;Associatie m.b.t. de gezamelijke exploitatie van 30 S2- bedden met A.Z. St. Dimpna, Geel (de bedden zijn gelokaliseerd in het A.Z. St. Dimpna, Geel);Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie mbt. de gezamelijke exploitatie van de dienst medische beeldvorming waarin een magnetische resonantie tomograaf (NMR) staat opgesteld, de dienst is gelokaliseerd in het A.Z. St. Dimpna, J.B. Stessensstraat 2 te 2440 GEEL;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;Associatie mbt de gezamelijke exploitatie van het gespecialiseerd oncologisch zorgprogramma voor borstkanker, het zorgprogramma is gelokaliseerd in het A.Z. St. Dimpna, J.B. Stessensstraat 2, 2440 Geel (709);Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
103;SP;3310;CENTRE HOSPITALIER REGIONAL DU VAL DE SAMBRE;AUVELAIS;RUE CHERE VOIE 75;5060;AUVELAIS;071/26.52.11;www.chrvs.be;F;W;Namur;Namur - Dinant;Hôpital général;Public;30;15;;60;9;74;15;40;;;;;;15;;20;26;20;;;;;;;;;;324;330;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P ;;;Programme de soins de base en oncologie;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
103;SS;3330;CENTRE HOSPITALIER REGIONAL DU VAL DE SAMBRE;FOSSES-LA-VILLE;RUE STE. BRIGIDE 43;5070;FOSSES-LA-VILLE;071/26.53.74;;F;W;Namur;Namur - Dinant;Hôpital général;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;SP;2060;SINT-JOZEFKLINIEK;BORNEM;KASTEELSTRAAT 23;2880;BORNEM;03/890.16.11;www.sjk.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;;;;42;;60;;;;;;;;15;;;20;;;;;;;;;;;137;239;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;;;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
104;SS;2110;SINT-JOZEFKLINIEK;WILLEBROEK;STEENWEG OP TISSELT 27;2830;WILLEBROEK;03/860.32.22;;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;;;;;30;;;;72;;;;;;;;;;;;;;;;;;;;102;;;;Medische Beeldvorming met scanner;;;;;;;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
106;SP;1340;REGIONAAL ZIEKENHUIS SINT-MARIA;;ZIEKENHUISLAAN 100;1500;HALLE;02/363.12.11;www.sintmaria.be;N;V;Vlaams-Brabant;Halle;Algemeen ziekenhuis;Privaat;30;;;70;;74;15;50;;;;;;20;;30;29;;6;;20;;;;;;;344;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve zorgen;Chirurgische Daghospitalisatie;;;;;;;;;
108;SP;1360;REGIONAAL ZIEKENHUIS HEILIG HART;;NAAMSESTRAAT 105;3000;LEUVEN;016/20.92.11;www.hhleuven.be;N;V;Vlaams-Brabant;Leuven;Algemeen ziekenhuis;Privaat;;;;77;;74;15;57;;;;;;38;;;;20;6;;;;;;;;;287;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie mbt. de gezamelijke exploitatie van de dienst medische beeldvorming waarin een magnetische resonantie tomograaf (NMR) staat opgesteld, de dienst is gelokaliseerd in het A.Z. Diest (site St. Jozef) te Diest;;;;Zorgprogramma cardiale pathologie A en P;Zorgprogramma reproductieve geneeskunde B;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SP;1370;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;MARIENDAL;KLINIEKSTRAAT 45;3300;TIENEN;016/80.90.11;www.rztienen.be;N;V;Vlaams-Brabant;Diest - Tienen;Algemeen ziekenhuis;Privaat;;;;83;;84;15;22;;;;;;17;;;;;;;;;;;;;;221;331;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;;Zorgprogramma voor kinderen;;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SS;1390;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;ST. JAN;HOUTEMSTRAAT 115;3300;TIENEN;016/80.90.11;;N;V;Vlaams-Brabant;Diest - Tienen;Algemeen ziekenhuis;;30;;;;;;;53;;;;;;;;;27;;;;;;;;;;;110;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;Niet- chirurgische daghospitalisatie;;;;;;;;
109;SS;1380;REGIONAAL ZIEKENHUIS HEILIG HART Vzw;MEDISCH CENTRUM;LANGDORPSESTEENWEG 129;3200;AARSCHOT;016/55.17.11;;N;V;Vlaams-Brabant;Diest - Tienen;Algemeen ziekenhuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;;geriatrisch consult;;;;;;;;;;;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
110;SP;1310;KLINIEK ST.-JAN - CLINIQUE ST. JEAN;KRUIDTUIN / BOTANIQUE;KRUIDTUINLAAN 32;1000;BRUSSEL--1;02/221.91.11;www.klstjan.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;30;;;102;;112;15;76;;10;;;;47;;;;;12;;;;;;;;;404;480;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;Zorgprogramma cardiale pathologie A, B, E en P ;;Zorgprogramma oncologie - Programme de soins d'oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker - Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;Ombudsfunctie - Fonction de médiateur;;;;;;
110;SS;1480;KLINIEK ST.-JAN - CLINIQUE ST. JEAN;MERIDIEN;RUE DU MERIDIEN 100;1210;BRUXELLES;02/225.91.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;;23;;;;;;;;;;;;;;;;;;29;24;;;;;;;76;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;dienst voor geriatrie - service de gériatrique;;;;;;;;;;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
111;SP;1400;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST. ELISABETH;DE FRELAAN 206;1180;BRUSSEL-18;02/614.20.00;"www.cliniquesdeleurope.be; www.europaziekenhuizen.be";B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;30;;;;292;;15;60;;;;;;15;;;;;12;;;;;;;;;424;716;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner ;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;Zorgprogramma cardiale pathologie A, B, E et P (B = associatie met Cliniques Universitaires St. Luc - Bruxelles);Zorgprogramma reproductieve geneeskunde A - Programme de soins médecine de la reproduction A;Zorgprogramma oncologie - Programme de soins d'oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker - Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
111;SS;1420;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST.-MICHEL;RUE DE LINTHOUT 150;1040;BRUXELLES--4;02/614.30.00;;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;30;10;;;160;;;40;;;;;;24;;;20;;8;;;;;;;;;292;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;Zorgprogramma cardiale pathologie A en P - Programme de soins pathologie cardiaque A et P;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
116;SP;2360;REVALIDATIE & MS CENTRUM;;BOEMERANGSTRAAT 2;3900;OVERPELT;011/80.91.00;www.msreva.be;N;V;Limburg;Lommel - Maaseik;Gespecialiseerd ziekenhuis;Privaat;;;;;;;;;;;;;;;;;;120;;;;;;;;;;120;;;Associatie m.b.t. de gezamelijke exploitatie van de functie ziekenhuisapotheek met Maria Ziekenhuis Noord-Limburg te Overpelt;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;Niet- chirurgische daghospitalisatie;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
117;SP;1950;H.- HARTZIEKENHUIS ROESELARE - MENEN;WILGENSTRAAT;RODE KRUISSTRAAT 20;8800;ROESELARE;051/23.71.11;www.hhr.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;;;;234;;244;32;;;;;;;23;;;;;;;;;;;;;;533;883;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);Associatie m.b.t. de gezamelijke exploitatie van een Pet-scanner, het toestel staat opgesteld in het A.Z. Groeninge (campus Onze Lieve Vrouw) Reepkaai 4 te 8500 Kortrijk;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P;Zorgprogramma reproductieve geneeskunde A;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker ;Zorgprogramma voor kinderen;;;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met Stedelijk Ziekenhuis - Roeselare ;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
117;SS;1960;H.- HARTZIEKENHUIS ROESELARE - MENEN;RIJSELSTRAAT;OUDE LEIELAAN 6;8930;MENEN;056/52.21.11;;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;;;;;53;;63;16;24;;;;;;13;;;;;;;;;;;;;;169;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank; ;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
117;SS;1150;H.- HARTZIEKENHUIS ROESELARE - MENEN;WESTLAAN;WESTLAAN 123;8800;ROESELARE;051/23.81.11;;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;;30;;;;;;;96;;;;;;;;;26;20;9;;;;;;;;;181;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;;;;;;;;;;;;;;;;Expertisecentrum voor comapatiënten (4 bedden);;
124;SP;1920;ST.-JOZEFSKLINIEK V.Z.W.;ST. JOZEFKLINIEK;ROESELAARSESTRAAT 47;8870;IZEGEM;051/33.41.11;www.sint-jozefkliniek-izegem.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;;;;63;;93;20;24;;;;;;17;;;;;;;;;;;;;;217;271;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie mbt. de gezamelijke exploitatie van de dienst medische beeldvorming waarin een magnetische resonantie tomograaf (NMR) staat opgesteld, de dienst is gelokaliseerd in het Stedelijk Ziekenhuis te Roeselare;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;Associatie met H. Hartziekenhuis Roeselare - Menen, Wilgenstraat 2 te 8800 Roeselare;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
124;SS;3500;ST.-JOZEFSKLINIEK V.Z.W.;TEN BOS;MEENSESTEENWEG 70;8870;IZEGEM;051/33.66.11;;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;;;;;;;;;30;;;;;;;;24;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;SP;1780;ONZE LIEVE VROUWZIEKENHUIS;AALST;MOORSELBAAN 164;9300;AALST;053/72.41.11;www.olvz.be;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;Privaat;30;;;238;;245;27;61;;;;;;21;;;;;;;;;;;;;;622;844;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E, P en T;Associatie mbt. de gezamelijke exploitatie van het zorgprogramma reproductieve geneeskunde B met het A.Z. Jan Palfijn te Gent - het zorgprogramma is gelokaliseerd in het A.Z. Jan Palfijn (campus Watersportbaan) te Gent;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het Aalsters Stedelijk Ziekenhuis - Aalst;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
126;SS;1300;ONZE LIEVE VROUWZIEKENHUIS;ASSE;BLOKLAAN 5;1730;ASSE;02/300.61.11;;N;V;Vlaams-Brabant;Vilvoorde - Dilbeek;Algemeen ziekenhuis;;30;;;50;;52;15;24;;;;;;15;;;;;6;;;;;;;;;192;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
126;SS;1790;ONZE LIEVE VROUWZIEKENHUIS;MEDISCH CENTRUM;BIEZENSTRAAT 2;9400;NINOVE;054/31.21.11;;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;30;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
134;SP;1830;ST.-VINCENTIUSZIEKENHUIS;;SCHUTTERIJSTRAAT 34;9800;DEINZE;09/387.71.11;www.azstvdeinze.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;;;;49;;51;20;34;;;;;;16;;;;;;;;;;;;;;170;;Associatie mbt de gezamelijke exploitatie van het zorgprogramma geriatrische patiënt met het Universitair Ziekenhuis, Gent;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie (zie kolom opmerkingen);geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
140;SP;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;;ST.-LUCASLAAN 29;8310;BRUGGE;050/36.91.11;www.stlucas.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;Privaat;30;8;;114;;93;24;56;;25;;;;22;;;20;20;;;;;;;;;;412;;"Associatie mbt. de gezamelijke exploitatie van 9 bedden Sp- palliatieve zorgen met A.Z. St. Jan Brugge-Oostende, de bedden zijn gelokaliseerd in ""campus Franciscus-Xaverius"" Spaanse Loskaai 1 te 8000 Brugge";Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;"Associatie mbt. de gezamelijke exploitatie van het zorgprogramma reproductieve geneeskunde B met het A.Z. St. Jan Brugge-Oostende, het zorgprogramma is gelokaliseerd op ""campus St. Jan"", Ruddershove 10 te 8000 Brugge ";Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;"Associatie m.b.t. de gezamelijke exploitatie van de functie regionale perinatale zorg (P*) met het A.Z. St. Jan Brugge-Oostende, de functie is gelokaliseerd op ""campus St. Jan"" Ruddershove 10 te 8000 BRUGGE";;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
143;SP;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;;LAARBEEKLAAN 101;1090;BRUSSEL--9;02/477.41.11;www.uzbrussel.be;N;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;30;;;268;36;203;57;29;;15;5;;;40;16;;22;;;;;;;;;;;721;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN) (3);Pet- scanner - Scanner pet;Radiotherpiedienst;Dialysecentrum - Centre de dialyse;Zorgprogramma cardiale pathologie A, B, E en P ;Zorgrogramma reproductieve geneeskunde B - Programme de soins médecine de la reproduction B;Zorgprogramma oncologie - Programme de soins d'oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Soins Intensifs - Intensieve Zorgen;Lokale neonatale zorgen - Soins néonatals locaux;Regionale Perinatale zorgen - Soins Périnatals Régionaux;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés ;Service Mobile d'Urgence (SMUR) - Mobiele Urgentiegroep (MUG) ;;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;Transplantatiecentrum - Centre de transplantation ;Centrum voor menselijke erfelijkheid;;;;
146;SP;3200;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;JOLIMONT;RUE FERRER 159;7100;HAINE-SAINT-PAUL;064/23.30.11;www.entite-jolimontoise.be;F;W;Hainaut;La Louvière;Hôpital général;Privé;30;;;204;;178;24;56;;;;;;20;;;;;;;;;;;;;;512;714;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN) (2);;Radiothérapie;Centre de dialyse;Programme de soins pathologie cardiaque A, B, E et P;;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Centre Hospitalier Universitaire Tivoli - La-Louvière;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
146;SS;3210;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;LOBBES;RUE DE LA STATION 25;6540;LOBBES;071/59.21.11;;F;W;Hainaut;La Louvière;Hôpital général;;;;;53;;40;12;24;;;;;;13;;;;;;;;;;;;;;142;;;;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;Programme des soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalisation Chirurgicale de Jour;;;;;;;;;
146;SS;3201;CENTRE HOSPITALIER DE JOLIMONT - LOBBES;SAINT-VAAST;AVENUE DE l'EUROPE 25;7100;SAINT-VAAST;;;F;W;Hainaut;La Louvière;Hôpital général;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;SP;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA (HUDERF);;AVENUE J.J. CROCQ 15;1020;BRUXELLES--2;02/477.33.11;www.huderf.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;;;;40;;;90;;;10;8;;;;20;;;;;;;;;;;;;168;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;;;Zorgprogramma cardiale pathologie C (samenwerkingsverband met CHU Brugmann - Brussel) - Programme de soins pathologie cardiaque C (collaboration avec CHU Brugmann - Bruxelles);;;Programme de soins de base en oncologie - Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;;Regionale perinatale zorgen - Soins périnatals régionaux in samenwerking met CHU Brugmann - Collaboration avec CHU Brugmann (077);Pediatrische liaison - Liaison pediatrique;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie - Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
